College_code,College_name,Subject_code,Subject_name,Home University,Cateogry,Rank,Score
6006,"I College of Engineering, Pune",600619110,Civil Engineering,Savitribai Phule Pune University,GOPENS,5287,97.5594389
6149,"I Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",614919110,Civil Engineering,Savitribai Phule Pune University,GOPENS,13668,93.5151322
6144,"I Genba Sopanrao Moze College of Engineering, Baner Balewadi, Pune",614419110,Civil Engineering,Savitribai Phule Pune University,GOPENS,31092,81.4897562
5161,"I Dr Vithalrao Vikhe Patil College of Engineering, Ahmednagar",516119110,Civil Engineering,Savitribai Phule Pune University,GOPENS,33509,79.0915609
5399,"I Sanghavi College of Engineering, Varvandi, Nashik",539919110,Civil Engineering,Savitribai Phule Pune University,GOPENH,39724,71.846643
5184,"I Amruta Vaishnavi Education Welfare Trust s Shatabdi Institute of Engineering Research, Agaskhind Tal Sinnar",518419110,Civil Engineering,Savitribai Phule Pune University,GOPENH,42056,68.7108478
6203,"I Marathwada Mitra Mandal s Institute of Technology, Lohgaon, Pune",620319110,Civil Engineering,Savitribai Phule Pune University,GOPENH,52876,51.2525075
5401,"I Jawahar Education Society s Institute of Technology, Management Research, Nashik",540119110,Civil Engineering,Savitribai Phule Pune University,GOPENH,54056,49.2558823
5139,"I Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar",513919110,Civil Engineering,Savitribai Phule Pune University,GOPENH,59802,38.7118617
6794,"I Anantrao Pawar College of Engineering Research, Pune",679419110,Civil Engineering,Savitribai Phule Pune University,GOPENH,60151,38.0521136
5181,"I Gokhale Education Society s, R H Sapat College of Engineering, Management Studies and Research, Nashik",518119110,Civil Engineering,Savitribai Phule Pune University,GOPENH,61863,34.9282678
